grid_id	lat1	lon1	avg_speed	start	end	total	4G	3G	2G	nos	4gd	3gd	2gd	nosd	static	full_mobile	tunnel
continuous	continuous	continuous	continuous	time	time	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete	discrete
																	
36435.0	59.902846	10.741984	10.4175	2014-11-02 10:01:36	2014-11-02 10:02:46	8.0	0.0	8.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36433.0	59.902846	10.676098	69.2648	2014-11-02 10:05:16	2014-11-02 10:05:26	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36743.0	59.920827	10.676098	69.3265333333	2014-11-02 10:05:36	2014-11-02 10:05:56	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
36742.0	59.920827	10.643155	69.2648	2014-11-02 10:06:06	2014-11-02 10:06:26	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
36432.0	59.902846	10.643155	62.1860444444	2014-11-02 10:06:36	2014-11-02 10:07:56	9.0	0.0	9.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
36431.0	59.902846	10.610212	9.9910526316	2014-11-02 10:08:06	2014-11-02 10:14:16	38.0	0.0	38.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36430.0	59.902846	10.577269	0.0	2014-11-02 10:14:26	2014-11-02 10:15:56	10.0	0.0	10.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36118.0	59.884864	10.511383	106.52704	2014-11-02 10:16:06	2014-11-02 10:16:46	5.0	0.0	5.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36117.0	59.884864	10.478441	37.6882	2014-11-02 10:16:56	2014-11-02 10:17:46	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
36116.0	59.884864	10.445498	0.0	2014-11-02 10:17:56	2014-11-02 10:18:16	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
35806.0	59.866883	10.445498	76.4876	2014-11-02 10:18:26	2014-11-02 10:18:36	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
35496.0	59.848902	10.445498	50.9917333333	2014-11-02 10:18:46	2014-11-02 10:19:06	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
35495.0	59.848902	10.412555	0.0	2014-11-02 10:19:16	2014-11-02 10:19:36	3.0	0.0	1.0	0.0	2.0	0.0	33.0	0.0	66.0	1	0	0
35185.0	59.83092	10.412555	8.4429411765	2014-11-02 10:19:46	2014-11-02 10:22:46	17.0	0.0	15.0	0.0	2.0	0.0	88.0	0.0	11.0	0	1	1
35184.0	59.83092	10.379612	0.0	2014-11-02 10:20:26	2014-11-02 10:20:36	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	1	0	0
34875.0	59.812939	10.412555	12.83436	2014-11-02 10:22:56	2014-11-02 10:24:46	10.0	0.0	6.0	0.0	4.0	0.0	60.0	0.0	40.0	0	1	1
34564.0	59.794957	10.379612	0.0	2014-11-02 10:24:56	2014-11-02 10:26:36	10.0	0.0	10.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
34254.0	59.776976	10.379612	0.0	2014-11-02 10:26:46	2014-11-02 10:28:36	12.0	0.0	12.0	0.0	0.0	0.0	100.0	0.0	0.0	1	0	0
33941.0	59.758995	10.280783	119.8244	2014-11-02 10:28:46	2014-11-02 10:28:56	2.0	0.0	2.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
33940.0	59.758995	10.24784	119.2688	2014-11-02 10:29:06	2014-11-02 10:29:06	1.0	0.0	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33630.0	59.741013	10.24784	112.046	2014-11-02 10:29:16	2014-11-02 10:30:06	5.0	0.0	5.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33629.0	59.741013	10.214897	84.4203333333	2014-11-02 10:30:16	2014-11-02 10:31:06	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33319.0	59.723032	10.214897	42.8738	2014-11-02 10:31:16	2014-11-02 10:32:26	8.0	0.0	8.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33318.0	59.723032	10.181954	14.3445818182	2014-11-02 10:32:36	2014-11-02 10:36:16	22.0	0.0	22.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	1
33628.0	59.741013	10.181954	48.36035	2014-11-02 10:36:26	2014-11-02 10:37:36	8.0	0.0	8.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33627.0	59.741013	10.149011	94.6372	2014-11-02 10:37:46	2014-11-02 10:38:46	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33626.0	59.741013	10.116068	116.429066667	2014-11-02 10:38:56	2014-11-02 10:39:46	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33625.0	59.741013	10.083125	110.255733333	2014-11-02 10:39:56	2014-11-02 10:40:46	6.0	0.0	6.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33624.0	59.741013	10.050183	98.87365	2014-11-02 10:40:56	2014-11-02 10:42:06	8.0	0.0	8.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33623.0	59.741013	10.01724	101.939371429	2014-11-02 10:42:16	2014-11-02 10:43:16	7.0	0.0	7.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33622.0	59.741013	9.984297	109.268	2014-11-02 10:43:56	2014-11-02 10:44:16	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33621.0	59.741013	9.951354	109.1291	2014-11-02 10:44:26	2014-11-02 10:44:56	4.0	0.0	4.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33931.0	59.758995	9.951354	105.0084	2014-11-02 10:45:06	2014-11-02 10:45:26	3.0	0.0	3.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33930.0	59.758995	9.918411	94.8488571429	2014-11-02 10:45:36	2014-11-02 10:46:36	7.0	0.0	7.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33929.0	59.758995	9.885468	39.3581931034	2014-11-02 10:46:46	2014-11-02 10:51:26	29.0	0.0	29.0	0.0	0.0	0.0	100.0	0.0	0.0	1	0	0
33619.0	59.741013	9.885468	97.0911	2014-11-02 10:51:36	2014-11-02 10:52:06	4.0	0.0	4.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33618.0	59.741013	9.852525	87.2292	2014-11-02 10:52:16	2014-11-02 10:52:56	5.0	0.0	5.0	0.0	0.0	0.0	100.0	0.0	0.0	0	1	0
33308.0	59.723032	9.852525	22.5789666667	2014-11-02 10:53:06	2014-11-02 10:58:56	36.0	0.0	36.0	0.0	0.0	0.0	100.0	0.0	0.0	1	0	0
